Ausgabe,Datum,Locales?,Neues aus Köln?,Wochentag
1908_1_1_397784.txt,1908-01-01,1,0,2
1908_1_2_397785.txt,1908-01-02,2,0,3
1908_1_3_397786.txt,1908-01-03,1,0,4
1908_1_4_397787.txt,1908-01-04,2,0,5
1908_1_7_397790.txt,1908-01-07,0,0,1
1908_1_8_397791.txt,1908-01-08,0,0,2
1908_1_9_397792.txt,1908-01-09,0,0,3
1908_1_10_397793.txt,1908-01-10,0,0,4
1908_1_11_397794.txt,1908-01-11,0,0,5
1908_1_13_397797.txt,1908-01-13,0,0,0
1908_1_14_397798.txt,1908-01-14,0,0,1
1908_1_15_397799.txt,1908-01-15,0,0,2
1908_1_16_397800.txt,1908-01-16,0,0,3
1908_1_17_397801.txt,1908-01-17,0,0,4
1908_1_18_397802.txt,1908-01-18,0,0,5
1908_1_20_397805.txt,1908-01-20,0,0,0
1908_1_21_397806.txt,1908-01-21,0,0,1
1908_1_22_397807.txt,1908-01-22,0,0,2
1908_1_23_397809.txt,1908-01-23,0,0,3
1908_1_24_397810.txt,1908-01-24,0,0,4
1908_1_25_397811.txt,1908-01-25,0,0,5
1908_1_27_397814.txt,1908-01-27,0,0,0
1908_1_28_397815.txt,1908-01-28,0,0,1
1908_1_29_397816.txt,1908-01-29,0,0,2
1908_1_30_397817.txt,1908-01-30,0,0,3
1908_1_31_397818.txt,1908-01-31,0,0,4
1908_2_1_397819.txt,1908-02-01,0,0,5
1908_2_3_397822.txt,1908-02-03,0,0,0
1908_2_4_397823.txt,1908-02-04,0,0,1
1908_2_5_397824.txt,1908-02-05,0,0,2
1908_2_6_397825.txt,1908-02-06,0,0,3
1908_2_7_397826.txt,1908-02-07,0,0,4
1908_2_8_397827.txt,1908-02-08,0,0,5
1908_2_10_397830.txt,1908-02-10,0,0,0
1908_2_11_397831.txt,1908-02-11,0,0,1
1908_2_12_397832.txt,1908-02-12,0,0,2
1908_2_13_397833.txt,1908-02-13,0,0,3
1908_2_14_397834.txt,1908-02-14,0,0,4
1908_2_15_397835.txt,1908-02-15,0,0,5
1908_2_17_397838.txt,1908-02-17,0,0,0
1908_2_18_397839.txt,1908-02-18,0,0,1
1908_2_19_397840.txt,1908-02-19,0,0,2
1908_2_20_397841.txt,1908-02-20,0,0,3
1908_2_21_397842.txt,1908-02-21,0,0,4
1908_2_22_397843.txt,1908-02-22,0,0,5
1908_2_24_397846.txt,1908-02-24,0,0,0
1908_2_25_397847.txt,1908-02-25,0,0,1
1908_2_26_397848.txt,1908-02-26,0,0,2
1908_2_27_397849.txt,1908-02-27,0,0,3
1908_2_28_397850.txt,1908-02-28,0,0,4
1908_2_29_397851.txt,1908-02-29,0,0,5
1908_3_4_397854.txt,1908-03-04,0,0,2
1908_3_5_397855.txt,1908-03-05,0,0,3
1908_3_6_397856.txt,1908-03-06,0,0,4
1908_3_7_397857.txt,1908-03-07,0,0,5
1908_3_9_397860.txt,1908-03-09,0,0,0
1908_3_10_397861.txt,1908-03-10,0,0,1
1908_3_11_397862.txt,1908-03-11,0,0,2
1908_3_12_397863.txt,1908-03-12,0,0,3
1908_3_13_397864.txt,1908-03-13,0,0,4
1908_3_14_397865.txt,1908-03-14,0,0,5
1908_3_16_397868.txt,1908-03-16,0,0,0
1908_3_17_397869.txt,1908-03-17,0,0,1
1908_3_18_397870.txt,1908-03-18,0,0,2
1908_3_19_397871.txt,1908-03-19,0,0,3
1908_3_20_397872.txt,1908-03-20,0,0,4
1908_3_21_397873.txt,1908-03-21,0,0,5
1908_3_23_397876.txt,1908-03-23,0,0,0
1908_3_24_397877.txt,1908-03-24,0,0,1
1908_3_25_397878.txt,1908-03-25,0,0,2
1908_3_26_397879.txt,1908-03-26,0,0,3
1908_3_27_397880.txt,1908-03-27,0,0,4
1908_3_28_397881.txt,1908-03-28,0,0,5
1908_3_30_397884.txt,1908-03-30,0,0,0
1908_3_31_397885.txt,1908-03-31,0,0,1
1908_4_1_397887.txt,1908-04-01,0,0,2
1908_4_2_397888.txt,1908-04-02,0,0,3
1908_4_3_397889.txt,1908-04-03,0,0,4
1908_4_4_397890.txt,1908-04-04,0,0,5
1908_4_6_397893.txt,1908-04-06,0,0,0
1908_4_7_397894.txt,1908-04-07,0,0,1
1908_4_8_397895.txt,1908-04-08,0,0,2
1908_4_9_397896.txt,1908-04-09,0,0,3
1908_4_10_397897.txt,1908-04-10,0,0,4
1908_4_11_397898.txt,1908-04-11,0,0,5
1908_4_13_397901.txt,1908-04-13,0,0,0
1908_4_14_397902.txt,1908-04-14,0,0,1
1908_4_15_397903.txt,1908-04-15,0,0,2
1908_4_16_397904.txt,1908-04-16,0,0,3
1908_4_17_397905.txt,1908-04-17,0,0,4
1908_4_18_397906.txt,1908-04-18,0,0,5
1908_4_21_397909.txt,1908-04-21,0,0,1
1908_4_22_397910.txt,1908-04-22,0,0,2
1908_4_23_397911.txt,1908-04-23,0,0,3
1908_4_24_397912.txt,1908-04-24,0,0,4
1908_4_25_397913.txt,1908-04-25,0,0,5
1908_4_27_397916.txt,1908-04-27,0,0,0
1908_4_28_397917.txt,1908-04-28,0,0,1
1908_4_29_397918.txt,1908-04-29,0,0,2
1908_4_30_397919.txt,1908-04-30,0,0,3
1908_5_1_397920.txt,1908-05-01,0,0,4
1908_5_2_397921.txt,1908-05-02,0,0,5
1908_5_4_397924.txt,1908-05-04,0,0,0
1908_5_5_397925.txt,1908-05-05,0,0,1
1908_5_6_397926.txt,1908-05-06,0,0,2
1908_5_7_397927.txt,1908-05-07,0,0,3
1908_5_8_397928.txt,1908-05-08,0,0,4
1908_5_9_397929.txt,1908-05-09,0,0,5
1908_5_11_397932.txt,1908-05-11,0,0,0
1908_5_12_397933.txt,1908-05-12,0,0,1
1908_5_13_397934.txt,1908-05-13,0,0,2
1908_5_14_397935.txt,1908-05-14,0,0,3
1908_5_15_397936.txt,1908-05-15,0,0,4
1908_5_16_397937.txt,1908-05-16,0,0,5
1908_5_20_397944.txt,1908-05-20,0,0,2
1908_5_21_397945.txt,1908-05-21,0,0,3
1908_5_22_397946.txt,1908-05-22,0,0,4
