Ausgabe,Datum,Locales?,Neues aus Köln?,Wochentag
1908_7_20_398069.txt,1908-07-20,0,1,0
1908_7_22_398071.txt,1908-07-22,0,1,2
1908_7_23_398072.txt,1908-07-23,0,1,3
1908_7_24_398073.txt,1908-07-24,0,1,4
1908_7_30_398080.txt,1908-07-30,0,1,3
1908_8_1_398082.txt,1908-08-01,0,1,5
1908_8_6_398088.txt,1908-08-06,0,1,3
1908_8_8_398090.txt,1908-08-08,0,1,5
1908_8_11_398094.txt,1908-08-11,0,1,1
1908_8_12_398095.txt,1908-08-12,0,1,2
1908_8_15_398098.txt,1908-08-15,0,1,5
1908_8_18_398102.txt,1908-08-18,0,1,1
1908_8_19_398103.txt,1908-08-19,0,1,2
1908_8_24_398109.txt,1908-08-24,0,1,0
1908_8_25_398110.txt,1908-08-25,0,1,1
1908_8_26_398111.txt,1908-08-26,0,1,2
1908_8_29_398114.txt,1908-08-29,0,1,5
1908_9_3_398120.txt,1908-09-03,0,1,3
1908_9_5_398122.txt,1908-09-05,0,1,5
1908_9_6_398123.txt,1908-09-06,0,1,6
1908_9_7_398124.txt,1908-09-07,0,1,0
1908_9_8_398125.txt,1908-09-08,0,1,1
1908_9_10_398206.txt,1908-09-10,0,1,3
1908_9_14_398211.txt,1908-09-14,0,1,0
1908_9_15_398212.txt,1908-09-15,0,1,1
1908_9_16_398213.txt,1908-09-16,0,1,2
1908_9_18_398215.txt,1908-09-18,0,1,4
1908_9_22_398220.txt,1908-09-22,0,1,1
1908_9_24_398222.txt,1908-09-24,0,1,3
1908_9_29_398228.txt,1908-09-29,0,1,1
1908_10_2_398231.txt,1908-10-02,0,1,4
1908_10_3_398232.txt,1908-10-03,0,1,5
1908_10_7_398237.txt,1908-10-07,0,1,2
1908_10_12_398243.txt,1908-10-12,0,1,0
1908_10_13_398244.txt,1908-10-13,0,1,1
1908_10_16_398247.txt,1908-10-16,0,1,4
1908_10_19_398251.txt,1908-10-19,0,1,0
1908_10_24_398256.txt,1908-10-24,0,1,5
1908_10_27_398260.txt,1908-10-27,0,1,1
1908_10_31_398264.txt,1908-10-31,0,1,5
1908_11_2_398267.txt,1908-11-02,0,1,0
1908_11_11_398277.txt,1908-11-11,0,1,2
1908_11_12_398278.txt,1908-11-12,0,1,3
1908_11_13_398279.txt,1908-11-13,0,1,4
