Ausgabe,Datum,Locales?,Neues aus Köln?,Wochentag
1891_12_17_314620.txt,1891-12-17,2,0,3
1891_7_10_314438.txt,1891-07-10,0,0,4
1891_5_3_314362.txt,1891-05-03,1,0,6
1891_3_12_314029.txt,1891-03-12,0,0,3
1891_1_20_313974.txt,1891-01-20,0,0,1
1891_1_23_313977.txt,1891-01-23,0,0,4
1891_6_24_314421.txt,1891-06-24,1,0,2
1891_11_27_314597.txt,1891-11-27,1,0,4
1891_12_16_314619.txt,1891-12-16,2,0,2
1891_9_18_314517.txt,1891-09-18,0,0,4
1891_8_6_314468.txt,1891-08-06,0,0,3
1891_2_22_314008.txt,1891-02-22,1,0,6
1891_8_14_314477.txt,1891-08-14,1,0,4
1891_11_19_314588.txt,1891-11-19,1,0,3
1891_8_24_314489.txt,1891-08-24,1,0,0
1891_12_10_314612.txt,1891-12-10,2,0,3
1891_8_22_314486.txt,1891-08-22,1,0,5
1891_5_11_314372.txt,1891-05-11,0,0,0
1891_2_6_313992.txt,1891-02-06,1,0,4
1891_3_19_314037.txt,1891-03-19,2,0,3
1891_5_25_314387.txt,1891-05-25,1,0,0
1891_7_6_314434.txt,1891-07-06,0,0,0
1891_7_29_314459.txt,1891-07-29,0,0,2
1891_4_30_314359.txt,1891-04-30,3,0,3
1891_7_19_314448.txt,1891-07-19,2,0,6
1891_7_13_314442.txt,1891-07-13,1,0,0
1891_12_14_314617.txt,1891-12-14,0,0,0
1891_12_8_314610.txt,1891-12-08,2,0,1
1891_3_20_314038.txt,1891-03-20,0,0,4
1891_10_23_314558.txt,1891-10-23,1,0,4
1891_10_4_314535.txt,1891-10-04,0,0,6
1891_8_20_314484.txt,1891-08-20,1,0,3
1891_9_25_314525.txt,1891-09-25,0,0,4
1891_7_30_314460.txt,1891-07-30,2,0,3
1891_4_3_314053.txt,1891-04-03,2,0,4
1891_2_7_313993.txt,1891-02-07,3,0,5
1891_9_29_314530.txt,1891-09-29,0,0,1
1891_6_21_314417.txt,1891-06-21,0,0,6
1891_8_3_314465.txt,1891-08-03,1,0,0
1891_12_5_314606.txt,1891-12-05,3,0,5
1891_9_22_314522.txt,1891-09-22,0,0,1
1891_1_28_313983.txt,1891-01-28,1,0,2
1891_12_2_314603.txt,1891-12-02,1,0,2
1891_10_28_314564.txt,1891-10-28,2,0,2
1891_5_10_314370.txt,1891-05-10,4,0,6
1891_2_18_314004.txt,1891-02-18,0,0,2
1891_3_5_314021.txt,1891-03-05,0,0,3
1891_9_26_314526.txt,1891-09-26,0,0,5
1891_11_3_314571.txt,1891-11-03,1,0,1
1891_8_31_314497.txt,1891-08-31,1,0,0
1891_6_4_314398.txt,1891-06-04,1,0,3
1891_12_4_314605.txt,1891-12-04,0,0,4
1891_8_1_314462.txt,1891-08-01,2,0,5
1891_2_26_314013.txt,1891-02-26,0,0,3
1891_11_4_314572.txt,1891-11-04,1,0,2
1891_2_13_313998.txt,1891-02-13,1,0,4
1891_4_10_314060.txt,1891-04-10,1,0,4
1891_5_22_314383.txt,1891-05-22,0,0,4
1891_4_15_314066.txt,1891-04-15,2,0,2
1891_6_27_314424.txt,1891-06-27,0,0,5
1891_10_27_314563.txt,1891-10-27,0,0,1
1891_12_23_314628.txt,1891-12-23,2,0,2
1891_12_20_314623.txt,1891-12-20,3,0,6
1891_11_14_314582.txt,1891-11-14,1,0,5
1891_1_22_313976.txt,1891-01-22,1,0,3
1891_3_1_314016.txt,1891-03-01,1,0,6
1891_7_5_314432.txt,1891-07-05,2,0,6
1891_7_1_314428.txt,1891-07-01,1,0,2
1891_9_8_314506.txt,1891-09-08,0,0,1
1891_11_30_314601.txt,1891-11-30,1,0,0
1891_2_19_314005.txt,1891-02-19,2,0,3
1891_5_7_314367.txt,1891-05-07,0,0,3
1891_11_11_314579.txt,1891-11-11,1,0,2
1891_9_13_314511.txt,1891-09-13,1,0,6
1891_1_7_313959.txt,1891-01-07,1,0,2
1891_9_2_314499.txt,1891-09-02,1,0,2
1891_8_30_314495.txt,1891-08-30,0,0,6
1891_9_16_314515.txt,1891-09-16,0,0,2
1891_6_9_314404.txt,1891-06-09,0,0,1
1891_1_15_313968.txt,1891-01-15,0,0,3
1891_3_7_314023.txt,1891-03-07,1,0,5
1891_5_13_314374.txt,1891-05-13,1,0,2
1891_10_9_314542.txt,1891-10-09,0,0,4
1891_1_1_313952.txt,1891-01-01,1,0,3
1891_9_10_314508.txt,1891-09-10,0,0,3
1891_6_30_314427.txt,1891-06-30,1,0,1
1891_2_20_314006.txt,1891-02-20,0,0,4
1891_10_25_314560.txt,1891-10-25,1,0,6
1891_4_26_314354.txt,1891-04-26,0,0,6
1891_5_24_314385.txt,1891-05-24,1,0,6
1891_2_1_313987.txt,1891-02-01,1,0,6
1891_10_12_314546.txt,1891-10-12,1,0,0
1891_3_6_314022.txt,1891-03-06,0,0,4
1891_1_2_313953.txt,1891-01-02,0,0,4
